ID,YEAR,COUNTRY,LATITUDE,LONGITUDE,PRIMARY_MAGNITUDE
5733,2019,INDONESIA,1.6,126.416,7.1
5712,2019,JAPAN,38.646,139.472,6.4
5711,2019,NEW ZEALAND,-30.805,-178.095,7.2
5710,2019,CHILE,-30.055999999999997,-72.082,6.4
5705,2019,PAPUA NEW GUINEA,-4.081,152.569,7.5
5687,2018,VENEZUELA,10.855,-62.883,7.3
5672,2018,HONDURAS,17.474,-83.51899999999999,7.5
5675,2018,PERU,-15.776,-74.744,7.1
5673,2018,USA,56.04600000000001,-149.07299999999998,7.9
5678,2018,USA,19.37,-155.032,6.9
5685,2018,INDONESIA,-8.287,116.45200000000001,6.9
5686,2018,FIJI,-18.178,-178.111,8.2
5688,2018,NEW CALEDONIA,-22.066,170.05,7.1
5689,2018,INDONESIA,-0.17800000000000002,119.84,7.5
5725,2018,NEW CALEDONIA,-21.743000000000002,169.52200000000002,6.5
5690,2018,GREECE,37.506,20.563000000000002,6.8
5698,2018,NEW CALEDONIA,-21.969,169.446,7.5
5654,2017,RUSSIA,54.443000000000005,168.857,7.7
5639,2017,FIJI,-19.373,176.05200000000002,6.9
5642,2017,PAPUA NEW GUINEA,-6.246,155.172,7.9
5647,2017,CHILE,-33.038000000000004,-72.062,6.9
5648,2017,PHILIPPINES,5.504,125.066,6.9
5649,2017,USA,59.852,-136.67700000000002,6.2
5652,2017,GREECE,38.93,26.365,6.3
5670,2017,NEW CALEDONIA,-21.334,168.683,7.0
5655,2017,TURKEY,36.929,27.414,6.6
5658,2017,MEXICO,14.761,-94.103,8.2
5663,2017,NEW CALEDONIA,-21.66,169.203,6.8
5664,2017,NEW CALEDONIA,-21.63,168.88400000000001,6.6
5723,2017,NEW CALEDONIA,-21.638,168.673,6.3
5724,2017,NEW CALEDONIA,-21.503,168.59799999999998,6.6
5613,2016,NEW ZEALAND,-42.736999999999995,173.054,7.8
5598,2016,INDONESIA,-4.952,94.33,7.8
5599,2016,ECUADOR,0.35,-80.16,7.8
5604,2016,NEW CALEDONIA,-22.476999999999997,173.11700000000002,7.2
5605,2016,UK TERRITORY,-55.285,-31.877,7.4
5606,2016,NEW ZEALAND,-37.359,179.146,7.0
5600,2016,VANUATU,-16.043,167.37900000000002,7.0
5618,2016,JAPAN,37.393,141.387,6.9
5630,2016,SOLOMON ISLANDS,-10.681,161.327,7.8
5632,2016,SOLOMON ISLANDS,-10.749,161.132,6.9
5620,2016,NICARAGUA,11.96,-88.835,6.9
5636,2016,PAPUA NEW GUINEA,-4.505,153.52200000000002,7.9
5637,2016,CHILE,-43.516999999999996,-74.391,7.6
5589,2015,SOLOMON ISLANDS,-9.307,158.403,6.7
5580,2015,JAPAN,39.856,142.881,6.7
5582,2015,VANUATU,-16.430999999999997,168.148,6.4
5581,2015,PAPUA NEW GUINEA,-4.729,152.562,7.5
5584,2015,JAPAN,31.529,140.213,5.7
5583,2015,PAPUA NEW GUINEA,-5.462000000000001,151.875,7.5
5588,2015,SOLOMON ISLANDS,-10.401,165.141,7.0
5591,2015,USA,52.214,-169.399,6.9
5590,2015,CHILE,-31.573,-71.67399999999999,8.3
5592,2015,CHILE,-29.46,-72.12,6.9
5593,2015,JAPAN,31.000999999999998,128.873,6.7
5594,2015,GREECE,38.67,20.6,6.5
5722,2015,SOLOMON ISLANDS,-8.899,158.422,6.8
5564,2014,PAPUA NEW GUINEA,-6.755,155.024,7.5
5557,2014,CHILE,-19.61,-70.76899999999999,8.2
5558,2014,CHILE,-20.570999999999998,-70.493,7.7
5559,2014,SOLOMON ISLANDS,-11.27,162.148,7.6
5555,2014,CHILE,-19.965,-70.814,6.7
5560,2014,SOLOMON ISLANDS,-11.463,162.05100000000002,7.4
5563,2014,MEXICO,17.397000000000002,-100.97200000000001,7.2
5575,2014,USA,58.306000000000004,-136.96,6.1
5572,2014,NEW ZEALAND,-29.976999999999997,-177.725,6.9
5571,2014,USA,51.849,178.735,7.9
5574,2014,JAPAN,37.005,142.453,6.5
5577,2014,CHILE,-32.108000000000004,-110.811,7.0
5607,2014,EL SALVADOR,12.526,-88.12299999999999,7.3
5578,2014,INDONESIA,1.893,126.522,7.1
5472,2013,USA,55.393,-134.65200000000002,7.5
5476,2013,SOLOMON ISLANDS,-10.765999999999998,165.114,7.9
5477,2013,SOLOMON ISLANDS,-10.927999999999999,166.018,7.0
5479,2013,RUSSIA,46.221000000000004,150.78799999999998,7.2
5491,2013,NEW ZEALAND,-41.70399999999999,174.33700000000002,6.5
5519,2013,NEW ZEALAND,-41.731,174.02700000000002,6.5
5533,2013,JAPAN,37.2,144.6,7.1
5534,2013,ANTARCTICA,-60.273999999999994,-46.401,7.7
5451,2012,VANUATU,-18.972,168.74099999999999,6.3
5706,2012,VANUATU,-19.125,169.613,6.7
5446,2012,JAPAN,40.887,144.944,6.9
5447,2012,MEXICO,16.493,-98.23100000000001,7.4
5449,2012,INDONESIA,2.327,93.06299999999999,8.6
5450,2012,INDONESIA,0.802,92.463,8.2
5442,2012,VANUATU,-17.827,167.13299999999998,7.0
5462,2012,EL SALVADOR,12.139000000000001,-88.59,7.3
5464,2012,COSTA RICA,10.085,-85.315,7.6
5467,2012,CANADA,52.788000000000004,-132.101,7.7
5468,2012,GUATEMALA,13.988,-91.895,7.3
5469,2012,JAPAN,37.89,143.94899999999998,7.2
5463,2012,PHILIPPINES,10.811,126.63799999999999,7.6
5721,2011,NEW CALEDONIA,-20.244,168.226,6.8
5419,2011,VANUATU,-19.157,168.31099999999998,6.5
5406,2011,CHILE,-36.474000000000004,-73.125,6.8
5407,2011,NEW ZEALAND,-43.583,172.68,6.1
5412,2011,JAPAN,38.435,142.842,7.5
5413,2011,JAPAN,38.297,142.372,9.1
5429,2011,JAPAN,38.275999999999996,141.588,7.1
5432,2011,USA,52.05,-171.83599999999998,7.3
5430,2011,NEW ZEALAND,-29.539,-176.34,7.6
5431,2011,JAPAN,38.034,143.264,7.0
5437,2011,VANUATU,-18.365,168.143,7.1
5436,2011,VANUATU,-18.311,168.218,7.0
5438,2011,USA,52.17100000000001,-171.708,6.8
5439,2011,NEW ZEALAND,-28.993000000000002,-176.238,7.4
4722,2010,CHILE,-34.29,-71.891,6.9
